,year,SimMod2.6_co2,SimMod2.6_t,SimMod2.6_f,SimMod4.5_co2,SimMod4.5_t,SimMod4.5_f,SimMod6.0_co2,SimMod6.0_t,SimMod6.0_f,SimMod8.5_co2,SimMod8.5_t,SimMod8.5_f
490,2255,-3.416036,1.1193825404737041,1.4067074829965982,3.131611,2.557176308638163,3.5047620876142807,4.9925212,3.434214275458938,4.747866782813615,7.585889999999999,6.539305335697796,9.22530085608372
491,2256,-3.416036,1.1166459587264874,1.4025866319509805,3.119867,2.556712679076703,3.50324315180767,4.97370144,3.4334692123288755,4.745395491684936,7.628168400000002,6.5373239225830515,9.217128775078216
492,2257,-3.416036,1.1139181969326075,1.3984906243238375,3.108123,2.556248871713624,3.501730926719789,4.9548816800000015,3.4327239689985136,4.742937610814386,7.6704468000000015,6.535345966724611,9.209135322504297
493,2258,-3.416036,1.1111999111963542,1.3944192245415827,3.096379,2.555784902647373,3.500225281441513,4.936061919999998,3.431978586570089,4.740492832253116,7.7127252,6.533375924981692,9.201312973992106
494,2259,-3.416036,1.1084904323572276,1.3903673373335852,3.084635,2.5553207838208407,3.498726090255706,4.91724216,3.4312330956280515,4.73806086483572,7.755003599999999,6.531417315349984,9.19365503050733
495,2260,-3.416036,1.1057892232245814,1.386332127724894,3.0728910000000003,2.5548565239185543,3.497233231963983,4.8984223999999985,3.430487517702868,4.735641426977664,7.797282000000001,6.5294729394498106,9.186155309088589
496,2261,-3.416036,1.1030959226518624,1.3823121910293992,3.0624314999999998,2.554392129040351,3.495746589496999,4.87960264,3.429741868195445,4.733234250817246,7.786736989000001,6.527545036095583,9.178808002613184
497,2262,-3.416036,1.10041020664822,1.3783064628433002,3.051972,2.5539279468868923,3.4942675309789113,4.86078288,3.428996157046534,4.730839077478423,7.776191611000001,6.525629027280594,9.17158017201583
498,2263,-3.416036,1.0977288312928766,1.3743013790389385,3.0415125,2.5534640366349177,3.49279584154717,4.84196312,3.4282503897760055,4.728455656635596,7.7656466,6.523725267883017,9.164468475873527
499,2264,-3.416036,1.0950493450848218,1.370289835758952,3.031053,2.5530004392929246,3.49133135674485,4.82314336,3.427504569189311,4.726083749899365,7.7551015890000015,6.521834128622385,9.157468985262605
500,2265,-3.416036,1.0923732137809894,1.3662823294107345,3.0205935,2.552537184370854,3.4898739361255844,4.8043236,3.4267586950172144,4.723723125127935,7.744556211,6.51995592823577,9.150577635936164
501,2266,-3.416036,1.0897019827513548,1.3622861666611794,3.0101340000000003,2.5520742934687277,3.488423451797438,4.78550384,3.426012765519131,4.721373561268242,7.7340111999999985,6.518090912303817,9.143790418066335
502,2267,-3.416036,1.0870373050039948,1.3583073844317095,2.9996745,2.5516117824276594,3.486979783400501,4.76668408,3.425266777170327,4.719034843967749,7.723466189000001,6.516239250656322,9.137103453392664
503,2268,-3.416036,1.0843812067501402,1.3543526198935458,2.989215,2.5511496627378034,3.485542815856826,4.74786432,3.424520724955492,4.7167067653355295,7.712920810999999,6.514401041809528,9.130513022594164
504,2269,-3.416036,1.0817343252839877,1.3504215704632478,2.9787555,2.5506879425210034,3.484112438316673,4.729044559999998,3.423774603499363,4.7143891274571486,7.7023758,6.512576320191982,9.124015572578605
505,2270,-3.416036,1.079096043380325,1.3465093937984738,2.968296,2.5502266272477945,3.482688543622659,4.7102248,3.423028406255684,4.712081736806457,7.691830789000001,6.5107650642277415,9.117607715617659
506,2271,-3.416036,1.0764657793891501,1.3426130277939474,2.9590843,2.5497657202770356,3.481271027999672,4.6914050399999985,3.4222821267529038,4.709784409171723,7.681285411000001,6.508967204030884,9.111286223696084
507,2272,-3.416036,1.0738431701741034,1.338731090577664,2.9498726000000004,2.549305558809199,3.4798612371290107,4.67258528,3.4215357579949774,4.707496965346265,7.6707404000000015,6.507182628694671,9.105048022154724
508,2273,-3.416036,1.0712279226508044,1.3348626705072588,2.9406609,2.5488461985668245,3.4784589704499282,4.6537655199999985,3.420789292523208,4.705219230963435,7.660195389,6.50541119306223,9.09889018351331
509,2274,-3.416036,1.0686167839764567,1.330994146166597,2.9314492000000003,2.548387677709718,3.477064076016829,4.63494576,3.420042723357813,4.702951040081669,7.649650011,6.503652723553958,9.092809920074856
510,2275,-3.416036,1.0660073489578978,1.3271186163625128,2.9222375,2.547930023313869,3.475676424806761,4.616126,3.419296043031873,4.700692229664912,7.639105000000002,6.501907023425399,9.086804577347475
511,2276,-3.416036,1.0634010174673623,1.323246250121724,2.9130258,2.5474732548469747,3.474295899580965,4.60303144,3.4185492447088004,4.698442644573675,7.62627468,6.500173877530779,9.08087162828508
512,2277,-3.416036,1.0607993312936792,1.319384386687913,2.9038141,2.5470173862446464,3.4729223900136668,4.58993688,3.417803538228234,4.696207377937084,7.613444359999999,6.498452555949274,9.075006510067263
513,2278,-3.416036,1.058203960682336,1.3155391655189475,2.8946024,2.546562427265021,3.471555790520961,4.57684232,3.417059118773957,4.693985913556391,7.60061404,6.49674274030248,9.069207105657403
514,2279,-3.416036,1.0556169558392317,1.311717326284245,2.8853907000000003,2.5461083844314474,3.470195999254227,4.56374776,3.4163161222674856,4.691777905484922,7.587783719999999,6.49504413523546,9.063471361788153
515,2280,-3.416036,1.0530389132589848,1.3079183688622775,2.876179,2.545655261718679,3.4688429175972226,4.5506532,3.4155746487707366,4.6895830881365095,7.574953400000001,6.493356458775657,9.05779730513073
516,2281,-3.416036,1.05046925256792,1.3041376433381828,2.8678114,2.545203061068274,3.4674964498822423,4.5375586399999985,3.4148347736138955,4.687401231785213,7.56212308,6.491679437903051,9.052183046883792
517,2282,-3.416036,1.0479073576858318,1.3003719200015225,2.8594438,2.544752006302815,3.466157466643082,4.52446408,3.414096554583795,4.6852321263753804,7.549292759999998,6.490012806544151,9.046626782464768
518,2283,-3.416036,1.0453528919104627,1.2966199593441463,2.8510762,2.5443021334126374,3.464825809379361,4.51136952,3.4133600363939047,4.683075573824628,7.53646244,6.488356304743899,9.04112678918115
519,2284,-3.416036,1.042805530456569,1.2928807020581299,2.8427086,2.5438534664624024,3.4635013529635956,4.498274960000002,3.4126252534531183,4.680931383330716,7.5236321199999985,6.48670967842601,9.035681423119655
520,2285,-3.416036,1.0402620535961633,1.2891406990338705,2.834341,2.543406021913405,3.462183988203382,4.4851804,3.4118922328871544,4.678799373629119,7.5108017999999985,6.485072679446652,9.030289115784484
521,2286,-3.416036,1.0377200374334317,1.2853929513582276,2.8259734,2.5429598109548444,3.4608736142775016,4.47208584,3.41116099539733,4.676679368177233,7.49797148,6.483445065786296,9.024948370711025
522,2287,-3.416036,1.03518090012427,1.2816477203127876,2.8176058,2.5425148409069367,3.4595701354234056,4.45899128,3.410431556710404,4.674571196061375,7.485141159999999,6.481826601795274,9.019657760150546
523,2288,-3.416036,1.032646221110333,1.2779124973721887,2.8092382,2.542071116144084,3.4582734594562092,4.44589672,3.409703928535414,4.672474691673945,7.47231084,6.480217058446166,9.014415921864295
524,2289,-3.416036,1.030117601797267,1.2741930842025495,2.8008706,2.5416286387427167,3.4569834970773186,4.43280216,3.4089781190236774,4.670389693209573,7.45948052,6.478616213567157,9.009221556041185
525,2290,-3.416036,1.0275970878800542,1.270496252659953,2.792503,2.5411874089566053,3.4557001615245233,4.4197076,3.408254134192914,4.668316046310713,7.4466502000000006,6.477023852042723,9.004073422342733
526,2291,-3.416036,1.0250853110238205,1.266821684789013,2.7849428,2.5407474255765274,3.45442336837053,4.40661304,3.407531977639931,4.666253599866053,7.4338198800000015,6.475439765975237,8.998970337074262
527,2292,-3.416036,1.0225816793634315,1.2631646628215105,2.7773826,2.540308901398734,3.453153962930771,4.39351848,3.406811651145305,4.664202207198314,7.42098956,6.47386375480537,8.993911170479423
528,2293,-3.416036,1.02008556207669,1.2595218991750852,2.7698224,2.5398718686678023,3.4518917992696445,4.38042392,3.406093154993694,4.66216172587939,7.408159240000002,6.472295625391756,8.988894844154382
529,2294,-3.416036,1.017596653167897,1.2558923064519931,2.7622622000000003,2.539436348371979,3.450636763099727,4.3673293599999985,3.4053764879459933,4.660132016303313,7.39532892,6.470735192051907,8.983920328577502
530,2295,-3.416036,1.0151145771938401,1.2522745874379215,2.754702,2.5390023543671107,3.4493887550758977,4.3542348,3.404661648283801,4.65811294538194,7.382498599999999,6.469182276567229,8.978986640750419
531,2296,-3.416036,1.0126362043698494,1.2486557251008465,2.7471417999999996,2.538569895589064,3.4481476835580076,4.34114024,3.4039486332229383,4.656104382382932,7.369668280000001,6.467636708155335,8.974092841946282
532,2297,-3.416036,1.0101590273444092,1.2450282925899754,2.7395816,2.5381389773774505,3.4469134614500665,4.32804568,3.403237439279476,4.654106200151705,7.35683796,6.466098323413081,8.969238035561128
533,2298,-3.416036,1.0076845055283292,1.2414027832346755,2.7320214,2.5377096023415304,3.4456860047950304,4.31495112,3.402528062397748,4.652118274958608,7.344007639999999,6.464566966233659,8.964421365064101
534,2299,-3.416036,1.0052142130233888,1.2377866505435122,2.7244612,2.5372817709647895,3.444465232126301,4.30185656,3.401820497766176,4.650140485102855,7.331177319999999,6.463042487700999,8.959642012042833
535,2300,-3.416036,1.0027497655237805,1.2341857582032925,2.716901,2.5368554820465046,3.443251064145925,4.288762,3.4011147407334676,4.648172714637876,7.318347,6.4615247459645575,8.954899194339843
536,2301,-3.416036,1.0002931587957387,1.2306066500781552,2.71108038,2.5364307330346234,3.442043423544582,4.27908788,3.4004107861164186,4.646214849239194,7.3105959600000014,6.4600136060973306,8.950192164276391
537,2302,-3.416036,0.9978450653156733,1.2270492302086975,2.70525976,2.5360079797613126,3.440844215395782,4.26941376,3.399709349934925,4.644269887183074,7.30284492,6.458509276602752,8.945521658093812
538,2303,-3.416036,0.9954048421184164,1.2235085428111538,2.69943914,2.5355872938174233,3.439653226009139,4.25973964,3.3990105464585394,4.642337501479437,7.29509388,6.457011699752929,8.940886924172839
539,2304,-3.416036,0.9929719038814241,1.2199815422765725,2.69361852,2.5351687235788227,3.438470306004877,4.25006552,3.398314455050021,4.640417468062012,7.28734284,6.455520815596873,8.93628731194219
540,2305,-3.416036,0.9905459641252231,1.2164672031700616,2.6877979,2.5347523035850212,3.4372953381583025,4.240391399999999,3.3976211334054818,4.63850960924011,7.2795918,6.4540365649801315,8.931722227686855
541,2306,-3.416036,0.9881266149051352,1.2129640602300447,2.68197728,2.534338058329831,3.436128217964004,4.23071728,3.396930624525318,4.636613769302245,7.27184076,6.45255888973134,8.927191110457409
542,2307,-3.416036,0.9857107150606949,1.2094590683675417,2.67615666,2.533926005161469,3.4349688482813456,4.22104316,3.396242960804833,4.634729803959713,7.26408972,6.45108773352711,8.92269342538464
543,2308,-3.416036,0.9832958011500507,1.2059450126654858,2.67033604,2.5335161560257795,3.4338171364101675,4.21136904,3.395558166662024,4.632857575746939,7.25633868,6.449623042158973,8.918228659321048
