CMIP5 Model mean Tas (temperature atmosphere surface) values,,,,
for the different RCP scenarios,,,,
,,,,
Baseline: average over (1961 – 1990),,,,
Data source: http://climexp.knmi.nl/selectfield_cmip5.cgi,,,,
,,,,
year,rcp26,rcp45,rcp60,rcp85
1927,-0.1277172222222589,-0.14232916666657047,-0.08851000000004206,-0.13463583333339102
1928,-0.13817555555556282,-0.14952916666658211,-0.1095266666666248,-0.1361024999999927
1929,-0.16492555555555555,-0.16287083333321561,-0.1366016666665928,-0.1503774999999905
1930,-0.15854222222219505,-0.16867083333323762,-0.12520999999992455,-0.162485833333335
1931,-0.14995055555550607,-0.16295416666656592,-0.12036833333331742,-0.15358583333329534
1932,-0.13789222222226272,-0.1548374999998714,-0.09077666666667028,-0.14610250000004044
1933,-0.16170055555556928,-0.17214583333321798,-0.12651833333330842,-0.16216083333335973
1934,-0.16236722222220124,-0.17610416666661877,-0.12747666666666646,-0.16269416666671077
1935,-0.11224222222222124,-0.1358791666665411,-0.08846833333331006,-0.12998583333336455
1936,-0.09366722222216595,-0.11128749999983256,-0.07553500000000213,-0.10756083333336619
1937,-0.07092555555556146,-0.09134583333326418,-0.03619333333324448,-0.0786441666666633
1938,-0.08540888888887821,-0.09870416666655046,-0.057518333333291594,-0.08575250000001233
1939,-0.09766722222224189,-0.09922916666658921,-0.0740016666666179,-0.09214416666668512
1940,-0.1051422222221845,-0.1051458333332107,-0.06715166666663208,-0.09536916666672823
1941,-0.07606722222226381,-0.0803708333332338,-0.05110166666662508,-0.07124416666664501
1942,-0.08022555555555755,-0.0884708333332469,-0.051951666666639085,-0.0836858333333339
1943,-0.09904222222229464,-0.09892916666655083,-0.06691000000000713,-0.09183583333333445
1944,-0.08101722222227181,-0.09559583333322053,-0.07233500000000959,-0.08708583333338993
1945,-0.07063388888889222,-0.0868541666665692,-0.052826666666646815,-0.07693583333332299
1946,-0.07094222222224289,-0.08002083333320797,-0.04315166666663117,-0.07594416666665893
1947,-0.06650888888896134,-0.07138749999984384,-0.05249333333324557,-0.06794416666662073
1948,-0.04955055555558374,-0.059670833333200335,-0.03595166666661953,-0.05315250000001015
1949,-0.04570888888895297,-0.04544583333318997,-0.01213499999994383,-0.04099416666662137
1950,-0.07890055555560593,-0.06449583333323972,-0.04767666666657533,-0.056319166666696674
1951,-0.08003388888892005,-0.06345416666658821,-0.05285166666669738,-0.06681083333330662
1952,-0.07534222222221842,-0.07666249999994079,-0.054693333333318606,-0.0755024999999705
1953,-0.09139222222222543,-0.08598749999987376,-0.07864333333327522,-0.08064416666667285
1954,-0.07741722222226599,-0.07817916666652991,-0.06962666666663608,-0.06836083333337228
1955,-0.07319222222224653,-0.07227083333322071,-0.06265166666668165,-0.07260250000001633
1956,-0.06098388888892714,-0.06095416666659048,-0.04281000000003132,-0.06537750000001097
1957,-0.03445888888893478,-0.03779583333323444,-0.02929333333327122,-0.04277749999999969
1958,-0.03780888888888967,-0.04995416666656638,-0.021118333333333794,-0.04762749999997595
1959,-0.04831722222223789,-0.04681249999987358,-0.01927666666665573,-0.04801083333325096
1960,-0.027433888888936053,-0.026012499999865213,-0.0002433333332305665,-0.027494166666656383
1961,-0.03298388888890713,-0.03819583333324772,-0.002918333333298051,-0.03960250000000087
1962,-0.05580888888886193,-0.06287083333324972,-0.05233499999997093,-0.06381916666663301
1963,-0.13444222222221924,-0.12956249999984948,-0.12389333333328523,-0.12993583333332026
1964,-0.27810888888893714,-0.2684958333333043,-0.27133500000002186,-0.26354416666669067
1965,-0.24425888888890768,-0.22529583333323444,-0.23670166666659043,-0.22615250000001197
1966,-0.189258888888844,-0.18845416666653136,-0.18392666666659352,-0.18775250000004462
1967,-0.14860055555556073,-0.15274583333331293,-0.14323500000000422,-0.15151916666667375
1968,-0.14075055555554172,-0.13818749999990132,-0.15219333333334362,-0.13628583333337474
1969,-0.16125888888888085,-0.14385416666658557,-0.16480999999998858,-0.14716916666668567
1970,-0.125917222222256,-0.11366249999991851,-0.11409333333324412,-0.11639416666668012
1971,-0.07028388888886639,-0.06367916666653173,-0.07648499999993419,-0.06536083333338638
1972,-0.0478338888888743,-0.045004166666558376,-0.05800166666659834,-0.04279416666668112
1973,-0.042208888888865204,-0.04185416666655328,-0.04270999999999958,-0.03875249999998687
1974,-0.024783888888919137,-0.03411249999993515,-0.029985000000010587,-0.032477499999970405
1975,-0.05065888888890413,-0.05400416666662977,-0.05993499999993901,-0.05049416666668094
1976,-0.03489222222225408,-0.0457874999999035,-0.0326350000000275,-0.04621916666667403
1977,-0.0013422222222629898,-0.0008791666666070341,0.009123333333377559,-0.0016191666666145466
1978,0.04994944444445082,0.05822083333345063,0.049756666666667115,0.06471416666670393
1979,0.08861611111115053,0.08922916666671199,0.08649833333333845,0.08946416666663026
1980,0.1250911111110895,0.11525416666671617,0.11407333333335146,0.11018083333334516
1981,0.15607444444447083,0.15102083333346172,0.14977333333342813,0.14618083333340337
1982,0.09602444444442426,0.09037916666676438,0.09934000000004062,0.0909474999999702
1983,-0.020908888888925503,-0.01932916666652318,-0.018501666666622896,-0.012485833333300889
1984,0.046666111111107966,0.055962500000134696,0.04352333333332581,0.06056416666666564
1985,0.09729111111107613,0.09865416666679039,0.0890650000000619,0.10336416666666537
1986,0.1394494444443808,0.1326708333334068,0.12695666666672878,0.1242474999999672
1987,0.18833277777775947,0.18403750000010177,0.19051500000006172,0.17854750000003605
1988,0.22971611111108814,0.22280416666677638,0.2354900000000839,0.2167974999999842
1989,0.2603327777777622,0.2550375000000713,0.2550483333333773,0.2561641666666219
1990,0.3267577777777433,0.31270416666671963,0.31453166666670995,0.3112058333333607
1991,0.26068277777778803,0.25733750000011923,0.24342333333339639,0.2548724999999763
1992,0.014882777777756928,0.03427083333343717,-0.0063183333332972325,0.038264166666692745
1993,0.08722444444447319,0.09787083333338842,0.07227333333338493,0.0967058333333739
1994,0.16070777777775902,0.17578750000012633,0.13772333333332654,0.17490583333335508
1995,0.23894944444441535,0.24233750000007603,0.21609000000000833,0.24192250000004378
1996,0.3260077777777042,0.3158458333334693,0.3067900000000918,0.31672249999996893
1997,0.38663277777777694,0.3800125000000776,0.36201500000004216,0.3803891666666459
1998,0.39932444444440307,0.3991708333334145,0.39489000000003216,0.39124750000001995
1999,0.4359244444444812,0.4265458333334209,0.43408166666665693,0.4214641666667376
2000,0.49014111111108605,0.4797541666667371,0.47469000000006645,0.4769975000000386
2001,0.5466327777777451,0.5397041666666951,0.547498333333408,0.5369891666666717
2002,0.5904911111110778,0.5703791666668394,0.5857316666666179,0.5593308333333198
2003,0.6044494444444126,0.5739791666667884,0.5851650000000745,0.5702308333333121
2004,0.6154661111111182,0.597579166666776,0.5994733333333784,0.5920808333332843
2005,0.6479244444444134,0.6257041666667646,0.6375899999999888,0.6132475
2006,0.6522911111111398,0.6416375000001153,0.6441983333333496,0.6299891666666326
2007,0.6694327777777289,0.6484291666667445,0.6461900000000469,0.6234808333333035
2008,0.6828911111110756,0.6588708333334239,0.6578150000000278,0.6505474999999592
2009,0.6912744444443888,0.6757291666667697,0.6833149999999932,0.6837558333332936
2010,0.7109077777778339,0.7023958333334122,0.67316500000004,0.6989891666667063
2011,0.7365494444444494,0.7186791666667887,0.7074650000000133,0.7037224999999694
2012,0.7861411111111352,0.745445833333406,0.7293150000000423,0.7347058333333507
2013,0.803032777777787,0.7974291666667455,0.7635066666666717,0.7894891666667263
2014,0.8518911111110583,0.8255541666666772,0.8003566666667439,0.8186641666666787
2015,0.8640327777777657,0.8210375000001022,0.808631666666713,0.8579308333333415
2016,0.881716111111075,0.8555625000000759,0.8132650000000012,0.8872974999999315
2017,0.8792994444444275,0.8707708333334381,0.8261316666666403,0.9021225000000186
2018,0.9115744444443976,0.876745833333473,0.8513066666666873,0.9038224999999898
2019,0.9327744444444193,0.8982458333334193,0.8727650000000722,0.9262641666666696
2020,0.9487577777778142,0.914254166666808,0.8973566666667239,0.9617308333333199
2021,0.9701827777777794,0.9571375000001012,0.8902233333333811,1.0201475000000073
2022,0.9972494444444351,0.9757541666667748,0.8951316666666571,1.0656974999999989
2023,1.0323994444444224,1.0180125000001112,0.9394150000000536,1.0723391666666657
2024,1.0364244444444353,1.057629166666743,0.959790000000055,1.0873891666666395
2025,1.0607744444444052,1.0789458333334778,1.0029233333333423,1.148214166666662
2026,1.0852161111111513,1.1220541666668282,1.0143983333333608,1.2148058333333438
2027,1.0953161111111172,1.1393625000000611,1.031973333333383,1.2275891666666894
2028,1.0881911111111435,1.1480375000001004,1.071040000000039,1.2657224999999812
2029,1.1152244444443795,1.1652125000001092,1.064006666666728,1.2892891666666628
2030,1.1454411111110403,1.170612500000118,1.0574649999999792,1.2835724999999343
2031,1.151049444444368,1.2091875000000982,1.1144733333333647,1.3195058333333236
2032,1.1531494444444093,1.240645833333474,1.1131733333334068,1.3644224999999892
2033,1.1643661111111214,1.2526125000001116,1.1197650000000294,1.394214166666643
2034,1.1767994444443843,1.281470833333401,1.1622483333333093,1.4380974999999125
2035,1.1846077777778419,1.3003125000001319,1.183306666666681,1.4737308333333203
2036,1.205641111111163,1.325937500000066,1.1820566666667105,1.5168475000000399
2037,1.2266411111110642,1.3625541666667687,1.2147483333333753,1.5447224999999776
2038,1.2661161111111028,1.3851041666667356,1.2531399999999735,1.5832475000000272
2039,1.256224444444456,1.3963791666667476,1.2741816666666637,1.6523975000000064
2040,1.2811577777777643,1.4317125000000601,1.269706666666707,1.6832141666666303
2041,1.2970744444444335,1.451362500000073,1.3340900000000033,1.702614166666649
2042,1.2802327777777691,1.4668791666667857,1.3485650000000078,1.7326225000000477
2043,1.2789411111110667,1.4897958333334032,1.3489816666666457,1.8055058333333136
2044,1.2877494444444437,1.5113208333334,1.3767983333333973,1.8432141666666553
2045,1.3029327777778121,1.5232875000000945,1.396898333333354,1.8499974999999722
2046,1.3263827777777806,1.5522291666667343,1.4267233333333706,1.9020141666666177
2047,1.3172494444444283,1.5851041666667811,1.4494983333333948,1.9730058333333318
2048,1.3329161111111034,1.5940875000000574,1.4647483333333184,2.0117808333333755
2049,1.3398161111111335,1.6287375000001134,1.4831066666667425,2.0247141666666835
2050,1.3400911111111213,1.655479166666737,1.4866316666667672,2.1104725000000144
2051,1.3256327777777983,1.6764208333334523,1.5127816666666831,2.140214166666624
2052,1.346507777777731,1.6817958333334673,1.5552316666667139,2.1783975000000737
2053,1.3493244444444485,1.7125541666667345,1.5856150000000184,2.2384558333333757
2054,1.3320744444444017,1.7163541666668038,1.5984483333333515,2.267839166666704
2055,1.3388327777778386,1.7568875000001185,1.623290000000054,2.3207725000000323
2056,1.365066111111048,1.7549291666667273,1.6205733333333683,2.3627391666666426
2057,1.3343244444443485,1.7667708333333962,1.6335316666667268,2.4127141666666603
2058,1.3378411111111177,1.8097458333334657,1.6978816666667171,2.4723558333333244
2059,1.3521577777777338,1.8394541666667692,1.7205650000000219,2.502139166666666
2060,1.3679494444444344,1.866837500000031,1.7401899999999841,2.567830833333346
2061,1.375957777777785,1.8587541666667562,1.7568650000000616,2.6298058333333074
2062,1.3714077777777902,1.8516208333334134,1.7844983333333744,2.6640308333332996
2063,1.3528994444444606,1.8817708333334622,1.7830816666667033,2.71247249999999
2064,1.317991111111155,1.9191791666667655,1.8100150000000212,2.7612474999999677
2065,1.345449444444455,1.9281708333334109,1.8305733333334047,2.8078808333333427
2066,1.3379994444444492,1.9349541666667278,1.8982066666667379,2.8629808333333244
2067,1.3499244444444685,1.9523291666667433,1.914290000000051,2.914830833333326
2068,1.3325327777777716,1.9483875000001376,1.9580983333333961,2.939072499999952
2069,1.337599444444436,1.9436125000000857,1.973365000000058,2.9880474999999933
2070,1.3430911111110504,1.9768208333333632,2.003231666666693,3.033389166666609
2071,1.3476911111110894,1.9964875000000006,2.056015000000059,3.0896558333333246
2072,1.3233744444444255,2.015879166666764,2.0599150000000463,3.140155833333324
2073,1.328199444444465,2.0389875000000757,2.089673333333394,3.1883224999999698
2074,1.3258161111110667,2.0227625000000558,2.1199066666666795,3.244439166666666
2075,1.3429661111110818,2.030754166666725,2.1476316666667117,3.2885475000000497
2076,1.3483994444444534,2.0439375000000837,2.162665000000004,3.3283308333333252
2077,1.3238077777778017,2.0705625000001078,2.196023333333301,3.3867391666666435
2078,1.3191161111111,2.0990041666667594,2.240290000000016,3.421122500000024
2079,1.3176077777777664,2.114795833333403,2.2915400000000545,3.477289166666594
2080,1.3132077777777909,2.108529166666756,2.3056400000000394,3.5173641666666526
2081,1.3094077777777215,2.1051958333334255,2.3057566666667526,3.569347499999992
2082,1.3191994444443935,2.122404166666797,2.3407816666667145,3.6020225000000323
2083,1.3086744444444776,2.1165875000000938,2.3666566666666995,3.636905833333344
2084,1.2997911111111193,2.132045833333393,2.4165816666667297,3.6778141666666784
2085,1.3004994444444264,2.1353458333333606,2.4443899999999985,3.736622499999953
2086,1.3161327777778524,2.1550375000001054,2.4642316666667057,3.7883224999999356
2087,1.333849444444411,2.1386375000000726,2.4815900000000397,3.837730833333353
2088,1.3258661111110541,2.13455416666676,2.497189999999989,3.886047500000018
2089,1.316391111111102,2.1687208333334524,2.536398333333352,3.93900583333334
2090,1.3294327777778108,2.173545833333435,2.580340000000035,3.9957224999999994
2091,1.313249444444466,2.162020833333429,2.594148333333351,4.065380833333279
2092,1.3347994444443998,2.1574041666667085,2.5756150000000275,4.101872500000013
2093,1.3349244444444253,2.1506208333334484,2.6026316666666958,4.128847500000006
2094,1.3374577777776722,2.160887500000058,2.6258900000000267,4.17893916666668
2095,1.3230577777777626,2.1955541666667955,2.6755316666667,4.227580833333377
2096,1.31823277777778,2.19942083333342,2.656381666666732,4.281655833333332
2097,1.335307777777757,2.1843125000000896,2.6661066666666784,4.36256416666663
2098,1.310657777777692,2.2176458333334494,2.706889999999987,4.386530833333268
2099,1.3209327777777276,2.2186708333334195,2.7279816666666648,4.414764166666657
2100,1.3117327777777632,2.228912500000149,2.750156666666726,4.484530833333338
