year	rcp26	rcp45	rcp60	rcp85
2034	1.5377928861788064	1.6301953252032035	1.5029821138211332	1.7768327235771153
2035	1.545601219512264	1.6490369918699344	1.5240404471545048	1.812466056910523
2036	1.566634552845585	1.6746619918698684	1.5227904471545344	1.8555827235772426
2037	1.5876345528454863	1.7112786585365711	1.5554821138211992	1.8834577235771803
2038	1.6271095528455248	1.7338286585365381	1.5938737804877974	1.92198272357723
2039	1.617217886178878	1.74510365853655	1.6149154471544875	1.9911327235772092
2040	1.6421512195121863	1.7804369918698626	1.6104404471545308	2.021949390243833
2041	1.6580678861788556	1.8000869918698754	1.6748237804878272	2.0413493902438518
2042	1.6412262195121912	1.8156036585365882	1.6892987804878317	2.0713577235772505
2043	1.6399345528454887	1.8385203252032056	1.6897154471544695	2.1442410569105164
2044	1.6487428861788658	1.8600453252032025	1.7175321138212212	2.181949390243858
2045	1.6639262195122342	1.872011991869897	1.7376321138211779	2.188732723577175
2046	1.6873762195122026	1.9009536585365368	1.7674571138211945	2.2407493902438205
2047	1.6782428861788503	1.9338286585365836	1.7902321138212187	2.3117410569105346
2048	1.6939095528455255	1.9428119918698599	1.8054821138211423	2.3505160569105783
2049	1.7008095528455556	1.977461991869916	1.8238404471545664	2.3634493902438862
2050	1.7010845528455434	2.0042036585365395	1.827365447154591	2.449207723577217
2051	1.6866262195122204	2.0251453252032547	1.853515447154507	2.4789493902438267
2052	1.707501219512153	2.0305203252032697	1.8959654471545377	2.5171327235772765
2053	1.7103178861788706	2.061278658536537	1.9263487804878423	2.5771910569105785
2054	1.6930678861788238	2.0650786585366063	1.9391821138211753	2.6065743902439067
2055	1.6998262195122606	2.105611991869921	1.964023780487878	2.659507723577235
2056	1.72605955284547	2.1036536585365297	1.9613071138211922	2.7014743902438454
2057	1.6953178861787706	2.1154953252031987	1.9742654471545507	2.751449390243863
2058	1.6988345528455397	2.158470325203268	2.038615447154541	2.811091056910527
2059	1.7131512195121559	2.1881786585365717	2.0612987804878458	2.8408743902438687
2060	1.7289428861788565	2.2155619918698335	2.080923780487808	2.906566056910549
2061	1.736951219512207	2.2074786585365587	2.0975987804878855	2.96854105691051
2062	1.7324012195122123	2.200345325203216	2.1252321138211983	3.0027660569105024
2063	1.7138928861788827	2.2304953252032647	2.123815447154527	3.0512077235771926
2064	1.6789845528455771	2.267903658536568	2.150748780487845	3.0999827235771704
2065	1.706442886178877	2.2768953252032134	2.1713071138212285	3.1466160569105455
2066	1.6989928861788712	2.2836786585365303	2.2389404471545618	3.201716056910527
2067	1.7109178861788905	2.3010536585365458	2.2550237804878748	3.253566056910529
2068	1.6935262195121936	2.29711199186994	2.29883211382122	3.2778077235771548
2069	1.698592886178858	2.292336991869888	2.314098780487882	3.326782723577196
2070	1.7040845528454724	2.3255453252031657	2.343965447154517	3.372124390243812
2071	1.7086845528455115	2.345211991869803	2.396748780487883	3.4283910569105274
2072	1.6843678861788476	2.3646036585365664	2.4006487804878702	3.478891056910527
2073	1.689192886178887	2.387711991869878	2.430407113821218	3.5270577235771725
2074	1.6868095528454887	2.3714869918698582	2.4606404471545034	3.583174390243869
2075	1.7039595528455038	2.3794786585365273	2.4883654471545356	3.6272827235772525
2076	1.7093928861788754	2.392661991869886	2.503398780487828	3.667066056910528
2077	1.6848012195122237	2.4192869918699103	2.5367571138211247	3.7254743902438463
2078	1.680109552845522	2.447728658536562	2.5810237804878398	3.759857723577227
2079	1.6786012195121884	2.4635203252032056	2.6322737804878784	3.816024390243797
2080	1.674201219512213	2.4572536585365583	2.6463737804878633	3.8560993902438554
2081	1.6704012195121436	2.453920325203228	2.6464904471545765	3.908082723577195
2082	1.6801928861788156	2.4711286585365997	2.6815154471545384	3.940757723577235
2083	1.6696678861788996	2.4653119918698962	2.7073904471545234	3.975641056910547
2084	1.6607845528455414	2.4807703252031956	2.7573154471545536	4.016549390243881
2085	1.6614928861788485	2.484070325203163	2.7851237804878224	4.075357723577156
2086	1.6771262195122745	2.503761991869908	2.8049654471545296	4.127057723577138
2087	1.694842886178833	2.487361991869875	2.8223237804878636	4.176466056910556
2088	1.6868595528454762	2.4832786585365625	2.837923780487813	4.224782723577221
2089	1.677384552845524	2.517445325203255	2.877132113821176	4.277741056910543
2090	1.6904262195122328	2.5222703252032375	2.921073780487859	4.334457723577202
2091	1.674242886178888	2.5107453252032315	2.9348821138211747	4.404116056910482
2092	1.6957928861788218	2.506128658536511	2.9163487804878514	4.440607723577216
2093	1.6959178861788473	2.499345325203251	2.9433654471545196	4.467582723577209
2094	1.6984512195120942	2.5096119918698605	2.9666237804878506	4.517674390243883
2095	1.6840512195121846	2.544278658536598	3.016265447154524	4.56631605691058
2096	1.679226219512202	2.5481453252032225	2.997115447154556	4.620391056910535
2097	1.6963012195121792	2.533036991869892	3.0068404471545023	4.7012993902438325
2098	1.671651219512114	2.566370325203252	3.047623780487811	4.7252660569104705
2099	1.6819262195121496	2.567395325203222	3.0687154471544886	4.75349939024386
2100	1.6727262195121853	2.5776369918699515	3.0908904471545497	4.8232660569105406
