,year,ch4_emissions_tg,n2o_emissions_tg,c_emissions_pg,co2_concentration_ppm,ch4_concentration_ppb,n2o_concentration_ppb,co2_forcing_wm2,ch4_forcing_wm2,n2o_forcing_wm2,total_forcing_wm2
397,2162,889.63454,24.316213126793745,25.502461,1548.2214,3602.8606,499.61708,9.2103383,1.0455795,0.66041433,10.947833000000001
398,2163,889.80484,24.277134974834013,25.232666000000002,1557.5025,3599.8406,500.32833,9.242329199999999,1.0448005999999999,0.66220866,10.980406
399,2164,889.97514,24.238055251766973,24.962871,1566.6838,3596.7269,501.02764,9.2737893,1.0439972,0.66397163,11.012383
400,2165,890.14545,24.19897709980724,24.693077,1575.7093,3593.3957,501.71513,9.304536599999999,1.0431373,0.66570358,11.043533
401,2166,890.31575,24.1598973767402,24.423282,1584.5792,3589.9621,502.3909,9.334582199999998,1.0422505,0.66740485,11.073912
402,2167,890.48605,24.12081922478047,24.153487,1593.389,3586.5497,503.05507,9.364258099999999,1.0413687,0.66907577,11.1039
403,2168,890.65636,24.081741072820734,23.883692,1602.1444,3583.2613,503.70774000000006,9.3935886,1.0405185,0.67071668,11.133561
404,2169,890.82666,24.042661349753697,23.613897,1610.8232,3580.2003,504.34900999999996,9.4225049,1.0397268,0.6723279,11.162866000000001
405,2170,890.99696,24.00358319779396,23.344102,1619.4189,3577.3804,504.979,9.4509909,1.0389972,0.67390975,11.191806
406,2171,891.1672599999999,23.964503474726925,23.074307,1627.9283,3574.7354,505.59781,9.479042699999999,1.0383125,0.67546256,11.22035
407,2172,891.3375699999999,23.92542532276719,22.804512,1636.3423,3572.209,506.20554000000004,9.506636199999999,1.0376583000000001,0.67698663,11.248455
408,2173,891.5078699999999,23.886345599700153,22.534717,1644.6544,3569.7719,506.80229,9.5337563,1.0370269,0.67848227,11.276094
409,2174,891.6781699999999,23.847267447740418,22.264922,1652.8621,3567.404,507.38815999999997,9.5604017,1.0364133,0.67994978,11.303258
410,2175,891.8484800000001,23.808187724673378,21.995128,1660.9472,3564.9323,507.96326,9.5865205,1.0357726,0.68138948,11.329828
411,2176,892.0187800000001,23.769109572713642,21.725333,1668.8714,3562.2328,508.52769000000006,9.611996099999999,1.0350725,0.68280166,11.355642
412,2177,892.1890800000001,23.730029849646606,21.455538,1676.6491,3559.4204,509.08154,9.636883300000001,1.0343429,0.6841866,11.380797
413,2178,892.3593900000001,23.69095169768687,21.185743,1684.3479,3556.6198,509.62490999999994,9.661404600000001,1.033616,0.6855446,11.405564
414,2179,892.5296900000001,23.651871974619834,20.915948,1691.9855,3553.935,510.1579,9.685620199999999,1.0329189,0.68687594,11.430043
415,2180,892.6999900000001,23.612793822660095,20.646152999999998,1699.5543,3551.4703,510.6806,9.7095102,1.0322787,0.68818092,11.454257
416,2181,892.8702900000001,23.57371409959306,20.376358,1707.0542,3549.2396,511.19312,9.7330781,1.0316991,0.6894598,11.478213
417,2182,893.0406,23.534635947633323,20.106563,1714.4671,3547.1764,511.69554000000005,9.756270800000001,1.0311628000000002,0.69071285,11.501833999999999
418,2183,893.2109,23.495557795673594,19.836768,1721.7857,3545.2234,512.18796,9.779070599999999,1.0306549999999999,0.69194036,11.52508
419,2184,893.3812,23.45647807260655,19.566973,1728.9986,3543.3509,512.67047,9.801446499999999,1.030168,0.69314259,11.547908999999999
420,2185,893.55151,23.417399920646822,19.297179,1736.073,3541.5386,513.14316,9.823302499999999,1.0296966,0.69431981,11.570217999999999
421,2186,893.72181,23.37832019757978,19.027384,1743.0204,3539.6146,513.60612,9.844679300000001,1.029196,0.69547227,11.59198
422,2187,893.89211,23.339242045620047,18.757589000000003,1749.8272,3537.4557,514.05945,9.8655411,1.028634,0.69660023,11.613113
423,2188,894.06242,23.300162322553007,18.487794,1756.4845,3535.1761,514.50323,9.885866499999999,1.0280405000000001,0.69770396,11.633639
424,2189,894.23272,23.261084170593275,18.217999,1763.0469,3532.9015,514.93756,9.9058265,1.027448,0.69878369,11.653777
425,2190,894.40302,23.222004447526235,17.948204,1769.542,3530.7365,515.3625099999999,9.9255089,1.026884,0.69983969,11.673657
426,2191,894.57333,23.182926295566503,17.678409,1775.972,3528.7856,515.77818,9.9449228,1.0263754999999999,0.70087219,11.693327
427,2192,894.74363,23.143846572499466,17.408614,1782.3281,3527.0624,516.18465,9.964045,1.0259263,0.70188143,11.712771
428,2193,894.91393,23.10476842053973,17.138819,1788.5985,3525.5001,516.58201,9.9828425,1.0255189,0.70286766,11.73193
429,2194,895.08423,23.065688697472694,16.869024,1794.7605,3524.0409,516.97035,10.001251,1.0251383,0.70383112,11.750717999999999
430,2195,895.25454,23.02661054551296,16.59923,1800.7999,3522.655,517.34973,10.019232,1.0247768,0.70477203,11.769084
431,2196,895.42484,22.98753082244592,16.329435,1806.7334,3521.3221,517.7202599999999,10.036839,1.024429,0.70569063,11.787075999999999
432,2197,895.59514,22.948452670486187,16.059639999999998,1812.5201,3519.8709,518.08201,10.053955,1.0240503,0.70658715,11.804509
433,2198,895.76545,22.909372947419147,15.789845000000001,1818.1423,3518.1791,518.4350599999999,10.070532,1.0236086,0.7074618,11.821288000000001
434,2199,895.93575,22.870294795459415,15.52005,1823.6498,3516.3611,518.77949,10.086721,1.0231339,0.70831482,11.837608
435,2200,896.10605,22.83121664349968,15.250255,1829.0556,3514.5423,519.11539,10.102564,1.0226589,0.70914643,11.85356
436,2201,896.27636,22.79213692043264,14.98046,1834.3733,3512.8271,519.44283,10.118103,1.0222108,0.70995683,11.869227
437,2202,896.44666,22.753058768472908,14.710664999999999,1839.6122,3511.319,519.76189,10.133367999999999,1.0218167,0.71074625,11.884678
