,date,year,co2_pg,ch4_tg,n2o_tg,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,total_forcing,t_os,t_eq,t_s
628,628.0,2393.0,2.25006966,269.38534,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1565.628410091652,2560.4930787902294,1239.098770019669,0.0,475.68701766462823,1608.737099328841,429.37592573880545,2.8926896113323184,0.4181180544323224,0.47467303749541345,3.7854807032600544,-0.2253796699999988,3.5601010332600556,2.535242593906953,2.8480808266080446,2.6259656813902694
629,629.0,2394.0,2.2459812799999996,269.39445,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1565.1454822580974,2560.5798818138355,1239.191955079065,0.0,475.6260557830414,1608.7671641056509,429.38768885569755,2.892003935762332,0.41812981574314245,0.4747050689959279,3.784838820501402,-0.2253796699999988,3.5594591505014033,2.535141845763424,2.8475673204011227,2.625745233408357
630,630.0,2395.0,2.2418929,269.40356,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1564.666122934904,2560.6666675064707,1239.2843263003435,0.0,475.5655443685657,1608.7972228797696,429.3993492386003,2.8913232399533486,0.41814157459238666,0.47473682030876896,3.784201634854504,-0.2253796699999988,3.558821964854505,2.5350425431127332,2.847057571883604,2.625526901456286
631,631.0,2396.0,2.23780452,269.41267,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1564.1903035608846,2560.753437517396,1239.375890791215,0.0,475.5054798158101,1608.8272762224287,429.4109077847478,2.890647485252598,0.4181533312035861,0.47476829388861624,3.7835691103448004,-0.2253796699999988,3.5581894403448016,2.5349446805048235,2.8465515522758413,2.6253106733184186
632,632.0,2397.0,2.23371614,269.42178,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1563.7179958902461,2560.840193338922,1239.4666555973154,0.0,475.44585855919695,1608.8573246504993,429.4223653835385,2.88997663342154,0.4181650857789977,0.474799492168578,3.7829412113691157,-0.2253796699999988,3.557561541369117,2.5348482523939913,2.8460492330952936,2.625096536797369
633,633.0,2398.0,2.2296277599999996,269.43088,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1563.2491719828595,2560.9269363213502,1239.5566277027465,0.0,475.38667707173363,1608.8873686316674,429.43372291660313,2.889310646622661,0.4181768385016308,0.4748304175603816,3.782317902684673,-0.2253796699999988,3.5569382326846744,2.534753253150043,2.8455505861477395,2.624884479719375
634,634.0,2399.0,2.22553938,269.43999,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1562.7838041949717,2561.0136586381072,1239.6458140306138,0.0,475.3279318638405,1608.9174054551493,429.4449812578724,2.8886494874068993,0.4181885883111388,0.4748610724545619,3.7816991481726,-0.2253796699999988,3.5563194781726013,2.5346596770661365,2.845055582538081,2.6246744896530005
635,635.0,2400.0,2.2214509999999996,269.4491,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1562.3218651704005,2561.1003713041664,1239.7342214435598,0.0,475.26961948223897,1608.9474389360512,429.4561412736449,2.8879931187017247,0.41820033669997897,0.4748914592206509,3.7810849146223546,-0.2253796699999988,3.555705244622356,2.534567518270118,2.8445641956978847,2.62446655472417
636,636.0,2401.0,2.21827278,269.45702,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1561.8633278321272,2561.1870752379123,1239.8218567442916,0.0,475.21173650889034,1608.9774693924608,429.4672038226529,2.8873415037997683,0.41821208379261804,0.4749215802073611,3.7804751677997475,-0.2253796699999988,3.5550954977997486,2.5344767709534306,2.8440763982397987,2.6242606628664773
637,637.0,2402.0,2.21509456,269.46495,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1561.4089615589933,2561.2726945138074,1239.9087266761042,0.0,475.15438006551454,1609.0071241707562,429.4781697561292,2.8866957379899785,0.4182236838192921,0.47495143774276954,3.77987085955204,-0.2253796699999988,3.5544911895520412,2.5343874292329907,2.843592951641633,2.624057030731497
